PROCEDIMENTO;Complexidade A;;;Complexidade B;;;Complexidade C;;
;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia
Mastoplastia Aumento;17.000,00;15.000,00;2.000,00;19.000,00;17.000,00;2.000,00;21.000,00;19.000,00;2.000,00
  + Lipoaspiração Pré-Axilas;18.000,00;16.000,00;2.000,00;20.000,00;18.000,00;2.000,00;22.000,00;20.000,00;2.000,00
  + Lipoaspiração Contorno Mamário;19.000,00;17.000,00;2.000,00;21.000,00;19.000,00;2.000,00;23.000,00;21.000,00;2.000,00
  + Papiloplastia - Redução Papilas Mamárias;20.000,00;18.000,00;2.000,00;22.000,00;20.000,00;2.000,00;24.000,00;22.000,00;2.000,00
  + Papiloplastia - Eversão Papilas Mamárias;20.000,00;18.000,00;2.000,00;22.000,00;20.000,00;2.000,00;24.000,00;22.000,00;2.000,00
Lipoenxertia Mamária Aumento;22.000,00;19.000,00;3.000,00;24.000,00;21.000,00;3.000,00;27.000,00;24.000,00;3.000,00
Retirada Implantes + Lipoenxertia Mamária;;0,00;;26.000,00;23.000,00;3.000,00;;0,00;0,00
Substituição Implantes;20.000,00;18.000,00;2.000,00;22.000,00;20.000,00;2.000,00;25.000,00;23.000,00;2.000,00
Substituição Implantes + Tratamento Cirúrgico Contratura Capsular;23.000,00;21.000,00;2.000,00;25.000,00;23.000,00;2.000,00;28.000,00;26.000,00;2.000,00
  + Lipoaspiração Pré-Axilas;24.000,00;22.000,00;2.000,00;26.000,00;24.000,00;2.000,00;29.000,00;27.000,00;2.000,00
  + Lipoaspiração Contorno Mamário;25.000,00;23.000,00;2.000,00;27.000,00;25.000,00;2.000,00;30.000,00;28.000,00;2.000,00
Mastopexia SEM Implantes;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00
  + Lipoaspiração Pré-Axilas;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
  + Lipoaspiração Contorno Mamário;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
  + Substituição Implantes;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
  + Substituição Implantes + Lipoaspiração Pré-Axilas;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
  + Substituição Implantes + Tratamento Cirúrgico Contratura Capsular;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
  + Retirada Implantes + Lipoenxertia Mamária;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
Mastopexia COM Implantes;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
  + Lipoaspiração Pré-Axilas;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
  + Lipoaspiração Contorno Mamário;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
  + Substituição Implantes;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
  + Substituição Implantes + Lipoaspiração Pré-Axilas;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00
  + Substituição Implantes + Lipoaspiração Contorno Mamário;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
  + Substituição Implantes + Tratamento Cirúrgico Contratura Capsular;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00
  + Retirada Implantes + Lipoenxertia Mamária;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;41.000,00;38.000,00;3.000,00
Mastoplastia Redutora;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
  + Lipoaspiração Pré-Axilas;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
  + Lipoaspiração Contorno Mamário;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
  + Substituição Implantes;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00;38.000,00;38.000,00;
  + Substituição Implantes + Lipoaspiração Contorno Mamário;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00;40.000,00;37.000,00;3.000,00
Lipoaspiração Abdome ou Flancos;18.000,00;16.000,00;2.000,00;21.000,00;19.000,00;2.000,00;24.000,00;22.000,00;2.000,00
Lipoaspiração Abdome, Flancos;20.000,00;17.000,00;3.000,00;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00
   + Pré-Axilas;21.000,00;18.000,00;3.000,00;24.000,00;21.000,00;3.000,00;27.000,00;24.000,00;3.000,00
   + FI Coxas;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Culotes;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Braços;24.000,00;21.000,00;3.000,00;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00
   + Pré-Axilas, FI Coxas;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas, Culotes;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas, Braços;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Culotes;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, Culotes, Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Culotes, Braços;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + FI Coxas, Culotes;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + FI Coxas, Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Culotes, Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + FI Coxas, Culotes, Braços;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Coxas (circunferencial);30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Excisão Fuso Cutâneo Abdome (acrescentar);3.000,00;3.000,00;0,00;3.000,00;3.000,00;0,00;3.000,00;3.000,00;0,00
Lipoaspiração Abdome, Flancos, Dorso;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Pré-Axilas;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + FI Coxas;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Culotes;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Braços;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas, FI Coxas;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas, Culotes;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas, Braços;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Culotes;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Braços;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
   + Pré-Axilas, Culotes, Braços;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Culotes, Braços;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
   + FI Coxas, Culotes;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + FI Coxas, Braços;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
   + Culotes, Braços;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
   + FI Coxas, Culotes, Braços;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
   + Coxas (circunferencial);35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;41.000,00;38.000,00;3.000,00
   + Excisão Fuso Cutâneo Abdome (acrescentar);3.000,00;3.000,00;0,00;3.000,00;3.000,00;0,00;3.000,00;3.000,00;0,00
Lipoaspiração Abdome, Flancos, Dorso + Lipoenxertia Glútea;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00
   + Pré-Axilas;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + FI Coxas;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Culotes;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Braços;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Pré-Axilas, FI Coxas;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Pré-Axilas, Culotes;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Pré-Axilas, Braços;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Culotes;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Braços;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
   + Pré-Axilas, Culotes, Braços;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Culotes, Braços;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;41.000,00;38.000,00;3.000,00
   + FI Coxas, Culotes;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00
   + FI Coxas, Braços;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
   + Culotes, Braços;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
   + FI Coxas, Culotes, Braços;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;41.000,00;38.000,00;3.000,00
   + Coxas (circunferencial);37.000,00;34.000,00;3.000,00;40.000,00;37.000,00;3.000,00;43.000,00;40.000,00;3.000,00
   + Excisão Fuso Cutâneo Abdome (acrescentar);3.000,00;3.000,00;0,00;3.000,00;3.000,00;0,00;3.000,00;3.000,00;0,00
Lipoaspiração Dorso + Lipoenxertia Glútea;20.000,00;17.000,00;3.000,00;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00
   + Pré-Axilas;21.000,00;18.000,00;3.000,00;24.000,00;21.000,00;3.000,00;27.000,00;24.000,00;3.000,00
   + FI Coxas;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Culotes;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Braços;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas, FI Coxas;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas, Culotes;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas, Braços;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Culotes;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, Culotes, Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, FI Coxas, Culotes, Braços;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + FI Coxas, Culotes;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + FI Coxas, Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Culotes, Braços;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + FI Coxas, Culotes, Braços;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Coxas (circunferencial);30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Excisão Fuso Cutâneo Abdome (acrescentar);3.000,00;3.000,00;0,00;3.000,00;3.000,00;0,00;3.000,00;3.000,00;0,00
Lipoaspiração Pré-Axilas;7.000,00;5.500,00;1.500,00;9.000,00;7.500,00;1.500,00;11.000,00;9.500,00;1.500,00
Lipoaspiração Contorno Mamário;10.000,00;8.500,00;1.500,00;12.000,00;10.500,00;1.500,00;14.000,00;12.500,00;1.500,00
Lipoaspiração Braços;12.000,00;10.000,00;2.000,00;14.000,00;12.000,00;2.000,00;16.000,00;14.000,00;2.000,00
Lipoaspiração FI Coxas;10.000,00;8.000,00;2.000,00;13.000,00;11.000,00;2.000,00;16.000,00;14.000,00;2.000,00
Lipoaspiração Culotes;10.000,00;8.000,00;2.000,00;13.000,00;11.000,00;2.000,00;16.000,00;14.000,00;2.000,00
Lipoaspiração Coxas (circunferencial);20.000,00;18.000,00;2.000,00;23.000,00;21.000,00;2.000,00;26.000,00;24.000,00;2.000,00
Lipoaspiração Sumento;14.000,00;12.000,00;2.000,00;16.000,00;14.000,00;2.000,00;18.000,00;16.000,00;2.000,00
Miniabdominoplastia;20.000,00;16.000,00;4.000,00;23.000,00;19.000,00;4.000,00;26.000,00;22.000,00;4.000,00
Miniabdominoplastia + Lipoaspiração Abdome, Flancos;27.000,00;23.000,00;4.000,00;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00
Miniabdominoplastia + Lipoaspiração Abdome, Flancos, Dorso;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
Miniabdominoplastia + Lipoaspiração Abdome, Flancos, Dorso + Lipoenx Glútea;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
Abdominoplastia;25.000,00;21.000,00;4.000,00;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00
Abdominoplastia + Lipoaspiração Abdome, Flancos;26.000,00;22.000,00;4.000,00;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00
   + Pré-Axilas;27.000,00;23.000,00;4.000,00;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00
   + FI Coxas;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Culotes;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Braços;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Pré-Axilas, FI Coxas;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Pré-Axilas, Culotes;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Pré-Axilas, Braços;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Pré-Axilas, FI Coxas, Culotes;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Pré-Axilas, FI Coxas, Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Culotes, Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, FI Coxas, Culotes, Braços;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + FI Coxas, Culotes;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + FI Coxas, Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Culotes, Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + FI Coxas, Culotes, Braços;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Coxas (circunferencial);36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00;42.000,00;38.000,00;4.000,00
Abdominoplastia + Lipoaspiração Abdome, Flancos, Dorso;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Pré-Axilas;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + FI Coxas;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Culotes;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Braços;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, FI Coxas;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, Culotes;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, Braços;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, FI Coxas, Culotes;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00;42.000,00;38.000,00;4.000,00
   + Pré-Axilas, FI Coxas, Braços;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Pré-Axilas, Culotes, Braços;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Pré-Axilas, FI Coxas, Culotes, Braços;39.000,00;35.000,00;4.000,00;42.000,00;38.000,00;4.000,00;45.000,00;41.000,00;4.000,00
   + FI Coxas, Culotes;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00;42.000,00;38.000,00;4.000,00
   + FI Coxas, Braços;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Culotes, Braços;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + FI Coxas, Culotes, Braços;39.000,00;35.000,00;4.000,00;42.000,00;38.000,00;4.000,00;45.000,00;41.000,00;4.000,00
   + Coxas (circunferencial);41.000,00;37.000,00;4.000,00;44.000,00;40.000,00;4.000,00;47.000,00;43.000,00;4.000,00
Abdominoplastia + Lipoaspiração Abdome, Flancos, Dorso + Lipoenxertia Glútea;33.000,00;28.000,00;5.000,00;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00
   + Pré-Axilas;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + FI Coxas;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Culotes;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Braços;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, FI Coxas;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, Culotes;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, Braços;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, FI Coxas, Culotes;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Pré-Axilas, FI Coxas, Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Pré-Axilas, Culotes, Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Pré-Axilas, FI Coxas, Culotes, Braços;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00
   + FI Coxas, Culotes;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + FI Coxas, Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Culotes, Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + FI Coxas, Culotes, Braços;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;43.000,00;4.000,00
   + Coxas (circunferencial);43.000,00;38.000,00;5.000,00;46.000,00;41.000,00;5.000,00;49.000,00;45.000,00;4.000,00
Exérese Fuso Cutâneo Abdome Inferior;10.000,00;8.000,00;2.000,00;13.000,00;11.000,00;2.000,00;16.000,00;14.000,00;2.000,00
Flancoplastia + Lipoaspiração Flancos;22.000,00;19.000,00;3.000,00;25.000,00;22.000,00;3.000,00;32.000,00;29.000,00;3.000,00
Cruroplastia;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;43.000,00;40.000,00;3.000,00
Braquioplastia;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;43.000,00;40.000,00;3.000,00
Ninfoplastia;15.000,00;13.000,00;2.000,00;17.000,00;15.000,00;2.000,00;21.000,00;19.000,00;2.000,00
  + Lipoenxertia Grandes Lábios;17.000,00;15.000,00;2.000,00;19.000,00;17.000,00;2.000,00;23.000,00;21.000,00;2.000,00
Tratamento Cirúrgico Cicatriz - P / M / G (G com sedação);6.000,00;6.000,00;0,00;10.500,00;9.000,00;1.500,00;10.000,00;8.500,00;1.500,00
Blefaroplastia Superior + AL;12.000,00;10.000,00;0,00;14.000,00;12.000,00;0,00;16.000,00;16.000,00;0,00
Blefaroplastia Superior + Sedação;13.000,00;11.500,00;1.500,00;15.000,00;13.500,00;1.500,00;17.000,00;15.500,00;1.500,00
Blefaroplastia Inferior;15.000,00;13.000,00;2.000,00;17.000,00;15.000,00;2.000,00;19.000,00;17.000,00;2.000,00
Blefaroplastia Superior e Inferior;20.000,00;18.000,00;2.000,00;22.000,00;20.000,00;2.000,00;24.000,00;22.000,00;2.000,00
Otoplastia;17.000,00;15.000,00;2.000,00;19.000,00;17.000,00;2.000,00;21.000,00;19.000,00;2.000,00
CÁLCULOS;2.100,00;2.100,00;0,00;—;—;—;—;—;—